 Mh1       Mh2        Mhc       MR        ld345          ld        a        Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)     Br(H->h-h+)    Br(H->AA)       Width_H   
1061.76   1065.09   1062.05   3720.14   -5.846E-01   4.110E+00   3.14     1.172E-01      1.667E-09     0.000E+00      0.000E+00       0.000E+00      2.214E-03      4.392E-03  
781.16   789.70   782.08   4187.30   -1.381E-01   2.205E+00   4.95     1.192E-01      1.717E-10     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
959.14   959.93   964.09   3110.98   -5.257E-01   2.692E+00   4.47     1.174E-01      1.651E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1484.90   1494.77   1492.94   3459.05   -4.819E-01   2.823E+00   3.26     1.185E-01      5.794E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
996.31   1004.02   996.46   2561.01   -3.021E-01   2.519E+00   4.63     1.186E-01      5.055E-10     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1561.62   1569.55   1568.69   4069.04   -5.175E-03   3.780E+00   3.86     1.183E-01      6.041E-14     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
739.53   746.26   740.01   3870.41   -2.431E-01   5.162E-01   3.56     1.172E-01      5.937E-10     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1285.44   1288.56   1287.82   4268.29   -8.245E-01   9.362E-01   4.18     1.175E-01      2.262E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1341.79   1350.57   1346.64   3206.78   -6.769E-02   2.409E+00   4.63     1.193E-01      1.400E-11     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1024.02   1033.88   1028.12   4102.71   -5.575E-01   4.914E-01   4.15     1.184E-01      1.629E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1028.74   1029.95   1029.03   3941.52   4.850E-01   2.991E+00   4.69     1.196E-01      1.222E-09     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1429.34   1432.26   1429.78   3236.52   2.225E-01   1.667E-02   4.56     1.175E-01      1.333E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
789.13   798.32   792.84   3941.92   -2.099E-01   1.459E+00   4.97     1.193E-01      3.889E-10     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
894.12   903.48   899.67   2576.45   -3.711E-01   2.558E-01   4.07     1.177E-01      9.469E-10     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1479.17   1488.02   1480.16   4390.76   -7.996E-01   3.882E-01   3.16     1.185E-01      1.607E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
873.82   874.47   879.61   2622.16   4.853E-02   4.021E+00   4.10     1.190E-01      1.696E-11     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1109.03   1113.48   1113.72   3566.69   2.077E-01   3.811E+00   4.86     1.178E-01      1.929E-10     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1833.74   1834.04   1838.74   4064.54   9.951E-02   1.876E-01   3.24     1.195E-01      1.620E-11     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1809.37   1816.00   1815.54   4118.27   -1.276E-02   2.587E+00   4.61     1.184E-01      2.738E-13     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1134.32   1138.73   1134.76   3570.04   4.351E-01   2.790E+00   3.91     1.178E-01      8.089E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1830.12   1836.58   1834.59   4156.17   2.096E-01   3.298E+00   3.91     1.175E-01      7.216E-11     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
826.55   831.95   831.44   3783.28   3.051E-02   1.720E+00   3.87     1.190E-01      7.485E-12     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1375.54   1377.79   1382.64   3833.62   -8.835E-01   3.290E-01   4.75     1.196E-01      2.269E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
830.43   836.65   838.51   4459.26   -2.565E-01   4.289E+00   3.38     1.192E-01      5.244E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
